,link
173,https://www.edx.org/micromasters/galileox-e-learning-crea-actividades-y-contenidos-para-la-ensenanza-virtual
174,https://www.edx.org/micromasters/rwthx-managing-technology-and-innovation-how-to-deal-with-disruptive-change
175,https://www.edx.org/professional-certificate/uwashingtonx-it-project-management
176,https://www.edx.org/xseries/columbiax-women-have-always-worked
177,https://www.edx.org/micromasters/usmx-umgc-cloud-computing
178,https://www.edx.org/micromasters/doanex-certified-lifestyle-medicine-executive
179,https://www.edx.org/professional-certificate/delftx-quantum-computing-and-quantum-internet
180,https://www.edx.org/micromasters/uqx-sustainable-energy
181,https://www.edx.org/xseries/federicax-introduction-to-political-science
182,https://www.edx.org/professional-certificate/gtx-human-computer-interaction
183,https://www.edx.org/professional-certificate/nyif-introduction-to-trading-with-technical-analysis
184,https://www.edx.org/professional-certificate/tecdemonterreyx-sustentabilidad-energetica-y-la-smart-grid
185,https://www.edx.org/professional-certificate/idbx-metodos-de-ensenanza-y-educacion-efectiva
186,https://www.edx.org/micromasters/michiganx-leading-educational-innovation-and-improvement
187,https://www.edx.org/professional-certificate/queensx-enterprise-sales
188,https://www.edx.org/microbachelors/nyux-programming-data-structures
189,https://www.edx.org/xseries/civil-war-reconstruction
190,https://www.edx.org/professional-certificate/umgc-usmx-drones-and-autonomous-systems
191,https://www.edx.org/professional-certificate/delftx-business-model-innovation
192,https://www.edx.org/professional-certificate/product-design-health
193,https://www.edx.org/micromasters/usmx-umgc-accounting-and-financial-management
194,https://www.edx.org/professional-certificate/michiganx-public-library-management
195,https://www.edx.org/professional-certificate/logycax-logistica-para-micro-y-pequenas-empresas
196,https://www.edx.org/professional-certificate/uamx-introduccion-a-la-programacion-en-c
197,https://www.edx.org/micromasters/usmx-umgc-software-testing-and-verification
198,https://www.edx.org/professional-certificate/delftx-the-economics-of-energy-transition
199,https://www.edx.org/professional-certificate/dartmouthx-retail-and-omnichannel-management
200,https://www.edx.org/professional-certificate/upvalenciax-it-fundamentals-for-business-professionals
201,https://www.edx.org/micromasters/wageningenx-business-and-operations-for-a-circular-bio-economy
202,https://www.edx.org/micromasters/wageningenx-economics-and-policies-for-a-circular-bio-economy
203,https://www.edx.org/professional-certificate/delftx-analisis-y-visualizacion-de-datos-con-excel
204,https://www.edx.org/professional-certificate/anahuacx-python-aplicado-a-la-ciencia-de-datos
205,https://www.edx.org/micromasters/purduex-nano-science-technology
206,https://www.edx.org/micromasters/wageningenx-chemistry-and-technology-for-sustainability
207,https://www.edx.org/professional-certificate/upvalenciax-fundamentos-tic-para-profesionales-de-negocios
208,https://www.edx.org/micromasters/edinburghx-predictive-analytics-using-python
209,https://www.edx.org/micromasters/iux-accounting
210,https://www.edx.org/professional-certificate/imperialx-clean-power
211,https://www.edx.org/professional-certificate/usmx-digital-marketing
212,https://www.edx.org/professional-certificate/galileox-electronica-basica
213,https://www.edx.org/professional-certificate/galileox-inteligencia-de-negocios
214,https://www.edx.org/professional-certificate/uqx-macroeconomics
215,https://www.edx.org/professional-certificate/nyif-capital-markets
216,https://www.edx.org/micromasters/queensx-water-and-global-human-health
217,https://www.edx.org/micromasters/iux-information-systems
218,https://www.edx.org/micromasters/uncordobax-siembra-directa-agricultura-productiva-sustentable
219,https://www.edx.org/professional-certificate/uqx-microeconomics
220,https://www.edx.org/professional-certificate/delftx-automated-software-testing
221,https://www.edx.org/professional-certificate/javerianax-gestion-de-la-proteccion-de-datos-personales-en-linea
222,https://www.edx.org/professional-certificate/uwashingtonx-internationalization-and-localization
223,https://www.edx.org/professional-certificate/sustainable-tourism-wageningenx
224,https://www.edx.org/micromasters/uqx-leadership-in-global-development-program
225,https://www.edx.org/professional-certificate/wageningenx-sustainable-inclusive-landscapes
226,https://www.edx.org/professional-certificate/berkeleyx-business-writing
227,https://www.edx.org/professional-certificate/delftx-inclusive-and-sustainable-cities
228,https://www.edx.org/professional-certificate/newcastlex-educational-leadership-and-management
229,https://www.edx.org/xseries/wasedax-steps-in-japanese-for-beginners-2
230,https://www.edx.org/professional-certificate/itmox-iot-from-hardware-to-practice
231,https://www.edx.org/micromasters/thunderbirdx-global-business-leadership-and-management
232,https://www.edx.org/professional-certificate/delftx-smart-grids-integration-and-modeling
233,https://www.edx.org/professional-certificate/nyif-credit-risk-and-credit-analysis
234,https://www.edx.org/xseries/curtinx-from-digital-technologies-to-social-media
235,https://www.edx.org/professional-certificate/wageningenx-animal-breeding-and-genetics
236,https://www.edx.org/professional-certificate/urosariox-internet-de-las-cosas-iot-big-data-y-sus-aplicaciones
237,https://www.edx.org/professional-certificate/itmox-data-processing-and-analysis
238,https://www.edx.org/xseries/visualizing-japan
239,https://www.edx.org/professional-certificate/linuxfoundationx-developing-blockchain-based-identity-applications
240,https://www.edx.org/professional-certificate/ritx-unreal-engine-foundations
241,https://www.edx.org/professional-certificate/ubcx-human-centred-design-for-work-at-a-distance
242,https://www.edx.org/micromasters/tecdemonterreyx-innovation-entrepreneurship
243,https://www.edx.org/professional-certificate/gtx-health-informatics-on-fhir
244,https://www.edx.org/professional-certificate/nyif-financial-accounting
245,https://www.edx.org/professional-certificate/tecdemonterreyx-empresas-familiares-emprendimiento-y-liderazgo-para-trascender
246,https://www.edx.org/professional-certificate/tsinghuax-data-science
247,https://www.edx.org/xseries/intellectual-disability-healthcare
248,https://www.edx.org/professional-certificate/linuxfoundationx-5g-strategy-for-business-leaders
249,https://www.edx.org/professional-certificate/diseno-de-software-para-la-toma-de-decisiones-organizacionales
250,https://www.edx.org/professional-certificate/anahuacx-marketing-de-servicios
251,https://www.edx.org/professional-certificate/nus-spatial-computational-thinking
252,https://www.edx.org/professional-certificate/delftx-ai-in-practice
253,https://www.edx.org/xseries/smithsonianx-star-trek-inspiring-culture-and-technology
254,https://www.edx.org/professional-certificate/tecdemonterreyx-transformacion-digital-como-estrategia-de-negocios-e-innovacion
255,https://www.edx.org/professional-certificate/usmx-championing-the-digital-enterprise
256,https://www.edx.org/professional-certificate/nyif-corporate-finance-and-valuation-methods
257,https://www.edx.org/professional-certificate/israelx-model-based-systems-engineering
258,https://www.edx.org/professional-certificate/mdandersonx-comparative-effectiveness-research-training-and-instruction
259,https://www.edx.org/professional-certificate/tecdemonterreyx-family-businesses-entrepreneurship-and-leadership-to-transcend
260,https://www.edx.org/professional-certificate/umgc-usmx-applied-entrepreneurship-scaling-a-business-for-success
261,https://www.edx.org/professional-certificate/dartmouthx-leading-innovation-with-vijay-govindarajan
262,https://www.edx.org/micromasters/hecmontrealx-design-et-evaluation
263,https://www.edx.org/professional-certificate/logycax-identificacion-de-productos-en-el-mundo-logistico
264,https://www.edx.org/professional-certificate/ucberkeleyx-agile-development-using-ruby-on-rails
265,https://www.edx.org/professional-certificate/hbkux-solar-energy-in-hot-desert-climates
266,https://www.edx.org/professional-certificate/georgetownx-ethical-decision-making-for-global-managers
267,https://www.edx.org/xseries/career-development-skills-success
268,https://www.edx.org/professional-certificate/israelx-sparse-representations-from-theory-to-practice
269,https://www.edx.org/professional-certificate/logycax-colaboracion-organizacional-y-redes-de-valor
270,https://www.edx.org/xseries/columbiax-veteran-transition
271,https://www.edx.org/professional-certificate/iux-personal-finance
272,https://www.edx.org/professional-certificate/javerianax-financiamiento-climatico
273,https://www.edx.org/professional-certificate/hbkux-sustainability-and-major-sport-events
274,https://www.edx.org/professional-certificate/delftx-automoviles-electricos
275,https://www.edx.org/professional-certificate/fullbridgex-skills-for-success
276,https://www.edx.org/professional-certificate/linuxfoundationx-secure-software-development-fundamentals
277,https://www.edx.org/professional-certificate/federicax-analisi-dei-dati-con-tableau
278,https://www.edx.org/professional-certificate/ucx-text-analytics-with-python
279,https://www.edx.org/professional-certificate/iux-business-negotiations
280,https://www.edx.org/professional-certificate/nyif-mergers-and-acquisitions
281,https://www.edx.org/xseries/michiganx-django-for-everybody
282,https://www.edx.org/professional-certificate/nyif-risk-management
283,https://www.edx.org/professional-certificate/nyif-project-finance-and-public-private-partnerships
284,https://www.edx.org/professional-certificate/nyif-derivatives
285,https://www.edx.org/professional-certificate/enodo-global-impact-of-chinas-economy-politics-and-markets
286,https://www.edx.org/professional-certificate/nyux-machine-learning-and-finance
287,https://www.edx.org/professional-certificate/nyif-brokerage-operations
288,https://www.edx.org/masters/online-master-science-computer-science-utaustinx
289,https://www.edx.org/masters/online-master-in-civil-engineering
290,https://www.edx.org/masters/online-master-science-analytics-georgia-tech
291,https://www.edx.org/masters/online-master-science-cybersecurity-georgia-tech
292,https://www.edx.org/masters/online-master-in-leadership-service-innovation-university-of-queensland
293,https://www.edx.org/masters/online-master-data-science-utaustinx
294,https://www.edx.org/masters/online-masters-in-electrical-and-computer-engineering
295,https://www.edx.org/masters/online-master-in-nutritional-sciences-utaustin
296,https://www.edx.org/masters/online-master-in-accounting-indiana-university
297,https://www.edx.org/masters/online-master-in-it-management-indiana-university
298,https://www.edx.org/masters/online-master-in-supply-chain-management-asux
299,https://www.edx.org/professional-certificate/nyif-mortgage-backed-securities
300,https://www.edx.org/masters/online-master-business-administration-mba-bux
301,https://www.edx.org/masters/online-masters-in-mechanical-engineering
302,https://www.edx.org/xseries/data-science-engineering-apache-spark
